,importance_ranking,variable,value
0,1,age,130
1,2,age,94
2,3,age,24
3,4,age,20
4,5,age,13
5,6,age,11
6,7,age,6
7,8,age,1
8,1,creatinine_phosphokinase,8
9,2,creatinine_phosphokinase,10
10,3,creatinine_phosphokinase,13
11,4,creatinine_phosphokinase,40
12,5,creatinine_phosphokinase,85
13,6,creatinine_phosphokinase,78
14,7,creatinine_phosphokinase,29
15,8,creatinine_phosphokinase,36
16,1,ejection_fraction,122
17,2,ejection_fraction,67
18,3,ejection_fraction,31
19,4,ejection_fraction,21
20,5,ejection_fraction,36
21,6,ejection_fraction,20
22,7,ejection_fraction,2
23,8,ejection_fraction,
24,1,platelets,
25,2,platelets,
26,3,platelets,1
27,4,platelets,
28,5,platelets,6
29,6,platelets,20
30,7,platelets,49
31,8,platelets,223
32,1,serum_creatinine,28
33,2,serum_creatinine,76
34,3,serum_creatinine,92
35,4,serum_creatinine,55
36,5,serum_creatinine,29
37,6,serum_creatinine,10
38,7,serum_creatinine,7
39,8,serum_creatinine,2
40,1,serum_sodium,8
41,2,serum_sodium,27
42,3,serum_sodium,69
43,4,serum_sodium,52
44,5,serum_sodium,40
45,6,serum_sodium,52
46,7,serum_sodium,38
47,8,serum_sodium,13
48,1,sex,3
49,2,sex,25
50,3,sex,69
51,4,sex,107
52,5,sex,79
53,6,sex,16
54,7,sex,
55,8,sex,
56,1,smoking,
57,2,smoking,
58,3,smoking,
59,4,smoking,4
60,5,smoking,11
61,6,smoking,92
62,7,smoking,168
63,8,smoking,24
