"x1","x2","x3","x4","x5","time","event","rho"
1,1,14.6501169874303,21.0023122686808,-0.685661664496834,5.76124566680493,1,1
1,0,11.0482443623022,18.8883038033559,-0.79271446858291,10.3271305193579,1,1
0,1,11.9414668328172,13.1010570629486,-0.407004152261873,11.5615043186117,0,1
1,1,10.7539467943052,11.9731802245773,-1.14867061145898,8.2983012702316,0,1
1,0,8.00813320691569,14.8327666781262,1.11576046554672,5.4688515277278,1,1
1,0,8.80503417390391,21.4633529139332,-0.879456778170003,0.981898970647557,1,1
1,1,10.3305028461603,19.3911869843663,1.27932293753161,1.16234234828225,1,1
0,1,4.14304564284487,17.0636236396952,-1.45427725484716,0.983651026761537,1,1
1,0,8.3041715468429,16.8721117720736,0.84222876919352,8.93026774004102,0,1
1,1,11.5971690244469,22.2062681392508,-0.603215007812732,0.992767240852118,0,1
0,0,9.40308802406956,13.5566360622797,0.131555027342539,10.865115204826,0,1
1,1,9.43277724610926,22.9927057323618,0.764444556679586,0.377356274631046,1,1
1,0,11.7390386132975,21.7971840449504,-0.917135166591924,1.84913139082016,1,1
0,0,8.91128943060205,16.5197499182254,0.23739451514297,3.99742224253714,0,1
0,0,11.2576064707552,19.6090082745682,-0.0446890666120593,11.4892254725564,0,1
1,1,7.15533108410922,23.5724008548651,-1.11855030356248,0.324423943498877,1,1
1,0,7.54497473333143,25.403660381065,0.576705022824006,0.584668132983256,1,1
0,0,6.65178896851114,25.955881577234,-2.30174221004384,6.37522295862436,0,1
0,1,10.1687969644898,21.4842688513891,1.54401138418949,9.90697813779116,0,1
1,0,9.5877486720592,19.1421070259497,1.19632123896946,1.92293130873536,1,1
1,1,12.8837432805641,21.8219783597566,-0.201676879864589,0.259941894561052,0,1
0,0,9.91643579322927,18.9675555589757,-0.432271579852631,12.7210171701088,1,1
1,0,12.7075089555276,15.9883049915835,0.346948643890299,12.3125118844632,1,1
1,0,13.8904505518457,23.3765739311918,-0.485377933779251,0.501261294070256,1,1
0,0,9.01812353258372,22.7786351035865,-0.195306080234756,10.5599506981832,1,1
1,0,10.7768781498892,25.0440149905892,0.229797411715838,4.89631337638594,1,1
0,0,8.31021348162804,26.6662371573507,-0.0946537580368488,3.06849524192512,0,1
1,0,11.4759807357422,25.8874317523574,1.71019954048516,0.896477798031451,1,1
